Abele,"Breath, breathing",m
Abelie,"Honeysuckle",f
Abramo,"Father of a multitude",m
Achille,"He who embodies the grief of the people",m
Adalberto,"Bright nobility",m
Adalfieri,"Noble oath",m
Adalina,"Little noble",f
Adolfo,"Noble wolf",m
Adona,"My lord",f
Adone,"My Lord",m
Adriana,"From Hadria",f
Agapeto,"Beloved",m
Agapito,"Beloved",m
Agostina,"Venerable",f
Agostino,"Venerable",m
Alberico,"Elf ruler",m
Alberta,"Bright nobility",f
Albertina,"Noble, bright",f
Alberto,"Bright nobility",m
Alda,"Noble",f
Aldo,"Little old sword",m
Alessa,"Defender of mankind",f
Alessandra,"Helper of mankind",f
Alessia,"Defender",f
Alessio,"Defender",m
Alfeo,"Elf counsel",m
Alfieri,"Standard bearer",m
Alfonsina,"Noble and ready",f
Alfredo,"Elf counsel",m
Allegra,"Cheerful and lively",f
Allegria,"Cheerful and lively",f
Alphonso,"Noble",m
Alvise,"Famous warrior",m
Amadore,"Lover",m
Amando,"Lovable",m
Amato,"Beloved",m
Ambrogino,"Little immortal one",m
Ambrogio,"Immortal",m
Amedea,"To love God",f
Amedeo,"To love God",m
Anatolio,"East, sunrise",m
Angelica,"Angelic",f
Angelico,"Angelic",m
Angioletta,"Little angel; little messenger",f
Angioletto,"Angel, messenger",m
Angiolo,"Angel, messenger",m
Anjelica,"Angelic",f
Annetta,"Favor, grace",f
Anselmo,"Divine helmet",m
Arabella,"Answered prayer",f
Arcangelo,"Archangel",m
Arduino,"Hardy friend",m
Arianna,"Chaste, very holy",f
Aroldo,"Army leader",m
Arrigo,"Army ruler",m
Arsenio,"Virile",m
Arturo,"Bear-man",m
Assunta,"Taken up",f
Attilio,"Father",m
Augostino,"Venerable",m
Augusto,"Venerable",m
Aurelio,"Golden",m
Azzo,"From Acca",m
Azzolino,"From Acca",m
Baldassare,"Ba'al protect the king",m
Baldovino,"Brave friend",m
Bartolomeo,"Son of Talmai",m
Basilio,"King",m
Battista,"Baptist",m
Beatrice,"Bringer of joy",f
Beniamino,"Son of the right hand",m
Benigna,"Very kind",f
Benigno,"Kind",m
Berengar,"Bear-spear",m
Bernardino,"Bold as a bear",m
Bernardo,"Bold as a bear",m
Bertina,"Noble, bright",f
Bertrando,"Bright raven",m
Bettina,"Blessed",f
Biagino,"Stuttering; talks with a lisp",m
Biagio,"Stuttering; talks with a lisp",m
Bianca,"White",f
Bibiana,"Alive",f
Bonfilia,"Feminine form of Bonfilio",f
Bonfilio,"Good son",m
Bonifacio,"Good destiny; good fate",m
Brunilda,"Armored warrior woman",f
Buonfiglio,"Good son",m
Bàrtolo,"Son of Talmai",m
Cajetan,"One from Caieta",m
Callisto,"Most beautiful",m
Calogero,"Beautiful elder",m
Camillo,"Attendant for a templ",m
Capricia,"Whimsical, playful",f
Carla,"Man",f
Carlita,"Man",f
Carlo,"Man",m
Carlota,"Man",f
Celestina,"Heavenly",f
Celestino,"Heavenly",m
Celia,"Heaven",f
Celino,"Heaven",m
Cesare,"Severed",m
Cesarina,"Severed",f
Cesarino,"Severed",m
Chiara,"Clear, bright",f
Chiarina,"Clear, bright",f
Cinzia,"Woman from Kynthos",f
Cipriana,"From Cyprus",f
Ciriaco,"Of the Lord",m
Cirino,"Like the sun",m
Ciro,"Like the sun",m
Clara,"Clear, bright",f
Claudio,"Lame",m
Clemente,"Gentle and merciful",m
Cleto,"Called back invoked",m
Coco,"Help",f
Colombano,"Dove",m
Colombina,"Dove",f
Colombo,"Dove",m
Concettina,"Conception",f
Concetto,"Conception",m
Cosima,"Order, beauty",f
Costantino,"Steadfast",m
Costanzo,"Steadfast",m
Crescenzo,"To spring up; to grow",m
Cristiana,"Follower of Christ",f
Cristiano,"Christian",m
Cristoforo,"Christ-bearer",m
Cross,"Cross, crucifix",m
Damiano,"To tame; to subdue",m
Daniela,"God is my judge",f
Daniele,"God is my judge",m
Dante,"Steadfast",m
Dario,"Possesses a lot, wealthy",m
Davide,"Beloved",m
Debora,"Bee",f
Delfina,"Woman from Delphi",f
Desi,"Longing",m
Desiderio,"Longing",m
Dino,"Little old sword",m
Domenico,"Belongs to the lord",m
Dona,"My Lord",f
Donata,"Given by God",f
Donatella,"Given by God",f
Donatello,"Given by God",m
Donato,"Given by God",m
Doriano,"Of the Dorian tribe",m
Dorotea,"Gift of god",f
Drago,"Dragon",m
Drina,"From Hadria",f
Duilio,"War",m
Durante,"Enduring, steadfast",m
Edda,"Battle, fight",f
Edoardo,"Guardian of prosperity",m
Edvige,"Battle, war",f
Efisio,"From Ephesus",m
Egidio,"Kid; young goat",m
Elario,"Joyful, happy",m
Elda,"Battle",f
Elena,"Torch",f
Eleonora,"Foreign, the other",f
Elettra,"Bright, shining",f
Elia,"The Lord is my God",m
Eligio,"To choose",m
Eliodoro,"Gift of the sun",m
Elma,"Helmet, protection",f
Elmo,"Protective",m
Elnora,"Foreign, the other",f
Eloisa,"Hale, very sound",f
Elpidio,"Hope",m
Emiliana,"Rival",f
Emilio,"Rival",m
Enrichetta,"Home-ruler",f
Enrico,"Home-ruler",m
Enzio,"Home-ruler",m
Enzo,"Conquering",m
Ercole,"Glory of Hera",m
Ermanno,"Army man",m
Ermete,"Derived from the Latin name Hermes",m
Erminio,"Of the earth",m
Ersilia,"Delicate, tender",f
Ettore,"Defend; hold fast",m
Eufemia,"Well I speak",f
Eugenio,"Well born",m
Eula,"Well-spoken",f
Eulalio,"Well-spoken",m
Eusebio,"Pious",m
Eustachio,"Fruitful",m
Eustorgio,"Content",m
Ezzelin,"Little noble one",m
Fabio,"Bean",m
Fabrizia,"Craftsman",f
Faramundo,"Journey protection",m
Fedele,"Faithful",m
Federica,"Peaceful ruler",f
Federigo,"Peaceful ruler",m
Feliciano,"Happy",m
Felisa,"Happy",f
Felìcita,"Fortune, good luck",f
Ferdinando,"Ardent for peace",m
Ferro,"Iron",m
Ferruccio,"Iron",m
Fiammetta,"Fire",f
Filberto,"Very bright",m
Filiberto,"Very bright",m
Filipo,"Lover of horses",m
Filippo,"Lover of horses",m
Fillipo,"Lover of horses",m
Fino,"Burning one",m
Fiore,"Flower",u
Fiorello,"Little flower",m
Fiorenza,"Blossoming",f
Fiorenzo,"Blossoming",m
Flavio,"Yellow hair",m
Florentina,"Feminine form of Floriano",f
Florentino,"Blossoming",m
Floriano,"Flower",m
Fonsie,"Noble and ready",m
Fortunata,"Lucky, fortunate",f
Fortunato,"Fortunate",m
Franca,"French",f
Frediano,"Cold",m
Fredo,"God's peace",m
Fulvia,"Yellow",f
Gabriele,"Man of God",m
Gabriella,"Warrior of God",f
Gasparo,"Treasure bearer",m
Gastone,"One from Gascony",m
Gavino,"Of Gabium",m
Geltrude,"Spear strength",f
Gemma,"Precious stone",f
Genevra,"Race of women",f
Genoveffa,"Race of women",f
Germano,"From Germany",m
Geronimo,"Holy name",m
Gervasio,"Spear servant",m
Giachetta,"Supplanter",f
Giacinta,"Hyacinth flower",f
Giacinto,"Hyacinth flower",m
Giacomo,"Supplanter",m
Giampaolo,"God is gracious",m
Gianni,"God is gracious",m
Giannino,"God is gracious",m
Gilda,"Sacrifice",f
Gina,"Earth-worker; a farmer",f
Ginevra,"Race of women",f
Gino,"Little immortal one",m
Gioacchino,"Jehovah raises up",m
Gioachino,"Jehovah raises up",m
Gioconda,"Happy, joyous",f
Gioffreda,"God's peace",f
Gioia,"Happiness",f
Giordano,"Flowing down",m
Giorgia,"Earth-worker; a farmer",f
Giorgino,"Little earth-worker; a farmer",m
Giorgio,"Earth-worker; a farmer",m
Giosuè,"God is salvation",m
Giovanna,"God is gracious",f
Giovanni,"God is gracious",m
Giraldo,"Spear ruler",m
Girolamo,"Holy name",m
Gisella,"Pledge",f
Giulia,"Descended from Jupiter",f
Giuliana,"Descended from Jupiter",f
Giuliano,"Descended from Jupiter",m
Giulietta,"Descended from Jupiter",f
Giuseppe,"God shall add another son",m
Giuseppina,"God shall add another son",f
Giustina,"Fair, just",f
Giustino,"Fair, just",m
Goffredo,"God's peace",m
Graziana,"Agreeable",f
Graziano,"Pleasing, agreeable",m
Graziella,"Agreeable",f
Gregario,"Watchful, vigilant",m
Guglielmo,"Will-helmet",m
Guiditta,"Praised",f
Guido,"Wide",m
Gustavo,"Meditation staff",m
Ignazio,"Unknowing",m
Ilaria,"Joyful, happy",f
Immacolata,"Immaculate",f
Ines,"Chaste, holy",f
Innocenzo,"Harmless, innocent",m
Isaia,"God is salvation",m
Italo,"Of Italy",m
Jacopo,"Supplanter",m
Jemma,"Precious stone",f
Jolanda,"Violet flower",f
Jovanni,"God is gracious",m
Lauro,"Laurel",m
Leandro,"Lion-man",m
Leonardo,"Lion-strong",m
Leone,"Lion",m
Leonora,"Foreign, the other",f
Leonzio,"Lion-like",m
Leopoldo,"People-bold",m
Letizia,"Happiness",f
Lia,"Weary",f
Liberatore,"Liberator",m
Lino,"A cry of grief",m
Lisa,"God is my oath",f
Lodovico,"Famous warrior",m
Loredana,"Laurel grove",f
Lorenza,"Of Laurentum",f
Lorenzo,"Of Laurentum",m
Loreto,"Laurel wood",f
Loris,"Of Laurentum",m
Lothario,"Loud warrior",m
Lotterio,"Loud warrior",m
Luca,"From Lucania",m
Luciana,"Light",f
Luciano,"Light",m
Lucio,"Light",m
Lucrezia,"Wealthy, rich",f
Ludovica,"Feminine form of Ludovico",f
Ludovico,"Renowned fighter",m
Luigi,"Renowned fighter",m
Luigia,"Famous warrior",f
Luigino,"Renowned fighter",m
Luisa,"Famous warrior",f
Luisella,"Famous warrior",f
Macario,"Blessed",m
Maddalena,"Of Magdala",f
Manfredo,"Strong peace",m
Marcella,"Defense",f
Marcellino,"A variant of Marcello",m
Marcello,"Defense",m
Marco,"Defense",m
Mariella,"Stubborn, obstinate",f
Marietta,"Little rebel",f
Marino,"Of the sea",m
Mario,"Male, virile",m
Marzio,"Defense",m
María,"Stubborn, obstinate",f
Maso,"Twin",m
Massimo,"The greatest",m
Matteo,"Gift of god",m
Mattia,"Gift of god",m
Maura,"Dark-skinned",f
Maurizio,"Dark-skinned; a Moor",m
Melania,"Dark",f
Melchiorre,"King of light",m
Meo,"Son of Talmai",m
Michela,"Who is like God",f
Michelangela,"Who is like God",f
Michele,"Who is like God",m
Michelina,"Who is like God",f
Milana,"Favor, grace",f
Mirella,"To admire",f
Mona,"Hearkening",f
Mosè,"Drawn out",m
Napoleone,"Lion of Naples",m
Narciso,"Numbness, sleep",m
Natale,"Birthday",f
Natanaele,"Given of God",m
Nazario,"Of Nazareth",m
Nereza,"Darkness",f
Nerina,"Water",f
Nerio,"Wet one",m
Nestore,"Homecoming",m
Niccolò,"Victor of the people",m
Nico,"Victor of the people",m
Nicola,"Victor of the people",f
Nicolina,"A variant of Nicola",f
Nicolò,"Victor of the people",m
Nilda,"Armored warrior woman",f
Nino,"God is gracious",m
Noelia,"Day of birth",f
Norma,"Standard rule",f
Orazio,"Keen eyes",m
Orfeo,"Deprived",m
Orlanda,"Famous land",f
Orlando,"Famous land",m
Ornella,"Flowering ash tree",f
Orsino,"Bear-like",m
Orso,"Bear",m
Orsola,"Little she-bear",f
Osvaldo,"Divine power",m
Ottavia,"Eighth",f
Ottaviano,"Eighth",m
Ottavio,"Eighth",m
Paolo,"Small",m
Paride,"Wager",m
Pasquale,"Passover",m
Patrizia,"Patrician; of noble birth",f
Patrizio,"Patrician; of noble descent",m
Pellegrino,"Wanderer",m
Pepe,"God shall add another son",m
Perla,"Pearl",f
Petronel,"Little rock",f
Piera,"Rock, stone",f
Piero,"Rock, stone",m
Pietrina,"Rock, stone",f
Pietronella,"Little rock",f
Pio,"Pious",m
Poldi,"People-bold",m
Prospero,"Fortunate, successful",m
Quirino,"Men together",m
Raffaela,"Healed of god",f
Raffaella,"Healed of god",f
Raffaello,"Healed of god",m
Raimonda,"Wise protector",f
Raimondo,"Wise protector",m
Raul,"Wise wolf",m
Remo,"Oar",m
Renata,"Reborn",f
Renato,"Reborn",m
Riccarda,"Powerful ruler",f
Riccardo,"Powerful ruler",m
Rico,"Home-ruler",m
Rinaldo,"Wise ruler",m
Roberto,"Bright fame",m
Rocco,"Rest",m
Rodolfo,"Famous wolf",m
Romana,"Roman",f
Romano,"Roman",m
Romilda,"Famous battle",f
Romola,"From Rome",f
Romolo,"One from Rome",m
Rosabella,"Beautiful rose",f
Rosalva,"Rose of dawn",f
Rosangela,"Rose-angel",f
Rosanna,"Rose of grace",f
Rosaria,"Rosary",f
Rosetta,"Little rose",f
Rossella,"Rose",f
Rufino,"Red-haired",m
Salvatore,"Savior",m
Salvatrice,"Savior",f
Samanta,"Name of God",f
Samuela,"Heard of god",f
Samuele,"Heard of God",m
Sandra,"Defender of mankind",f
Sansone,"Like the sun",m
Santino,"Little saint",m
Santo,"Holy",m
Santuzza,"Holy",f
Saturnino,"To sow",m
Saveria,"A new home",f
Savio,"Clever",m
Scevola,"Left-handed",m
Sebastiana,"From Sebaste",f
Sebastiano,"From Sebaste",m
Serafina,"Burning one",f
Sergio,"Sergeant",m
Settimio,"Seventh",m
Severiano,"Stern",m
Severino,"Stern",m
Severo,"Stern",m
Silvana,"From the forest",f
Silvano,"From the forest",m
Silvestro,"From the forest",m
Silvia,"From the forest",f
Silvio,"From the forest",m
Simona,"Hearkening",f
Sofia,"Wisdom",f
Stefania,"Crown",f
Stefano,"Crown",m
Susana,"Lily",f
Tacito,"Mute, silent",m
Tancredo,"Thought-counsel",m
Tecla,"Glory of god",f
Teobaldo,"People-bold",m
Teodosio,"God-giving",m
Teofila,"God's friend",f
Terzo,"Third",m
Thorello,"Young bull",m
Timoteo,"To honor God",m
Tino,"Little, small",m
Tiziano,"Of the Titans",m
Tommaso,"Twin",m
Tonia,"Priceless",f
Tonio,"Priceless, invaluable",m
Tore,"Savior",m
Tàmmaro,"Thought",m
Ugo,"Heart",m
Ulderico,"Merciful ruler",m
Urbano,"Of the city",m
Valentino,"Healthy, strong",m
Valerio,"To be healthy; hale",m
Vanda,"A wend; a wanderer",f
Vanna,"God is gracious",f
Vanni,"God is gracious",m
Velia,"Concealed, healing",f
Venceslao,"More glory",m
Vicenzo,"Conquering",m
Vico,"Conqueror",m
Vincente,"Conquering",m
Vincenzo,"Conquering",m
Violetta,"Violet color",f
Virgilio,"Flourishing",m
Vitalia,"Of life; vital",f
Vito,"Life",m
Vittore,"Conqueror",m
Vittoria,"Conqueror",f
Vittorino,"Conqueror",m
Vittorio,"Conqueror",m
Xaviera,"A new home",f
Xaviero,"A new home",m
Zeta,"Little girl",f
Zita,"Little girl",f