Aarón,"Light-bringer",m
Abelardo,"Noble strength",m
Abrahán,"Father of a multitude",m
Abraám,"Father of a multitude",m
Adalina,"Little noble",f
Adelaida,"Noble, bright",f
Adelina,"Little noble",f
Adelita,"Honest",f
Adelmira,"Nobly famous",f
Adolpho,"Noble, majestic wolf",m
Adoncia,"Sweet",f
Adora,"Adoration",f
Adoria,"Adoration",f
Adriana,"From Hadria",f
Adrián,"Sea, or water",m
Adán,"Earth",m
Agapito,"Beloved",m
Agata,"Good",f
Agota,"Good",f
Agueda,"Good",f
Agustín,"Deserving of respect",m
Aina,"Always, forever; the only one",f
Alano,"Fair, handsome",m
Alarico,"All-powerful; ruler of all",m
Alba,"Dawn",f
Alberto,"Spanish form of Albert",m
Alejandra,"Feminine form of Alexander",f
Alejandro,"Spanish form of Alexander",m
Aleta,"Winged",f
Alfredo,"Elf counsel",m
Alicia,"Honest",f
Alisa,"A variant of Alicia",f
Alphonso,"Noble and ready for battle",m
Amada,"Beloved",f
Amadis,"To love God",m
Amando,"Lovable",m
Ambrosio,"Immortal",m
Ana,"Grace, favor",f
Andrés,"Man; warrior",m
Angélica,"Angel, messenger",f
Anibal,"Grace of Ba'al",m
Anita,"Favor, grace",f
Anselmo,"Divine protector",m
Antonia,"Praiseworthy, priceless",f
Antonietta,"Praiseworthy, priceless",f
Antonio,"Worthy of praise; of value",m
Apolinar,"Of Apollo",m
Aracely,"Altar of the sky",f
Arcelia,"Altar of the sky",f
Ariadna,"Utterly pure",f
Armando,"Bold man",m
Arsenio,"Virile",m
Arturo,"Bear-man",m
Ascención,"Ascension",f
Asunción,"Assumption",f
Augusto,"Majestic, dignified",m
Aureliano,"Golden",m
Bajardo,"Bay color",m
Bartolomé,"Son of Talmai",m
Basilia,"Queen",f
Basilio,"King",m
Beatriz,"She who brings others happiness",f
Benedicto,"Blessed",m
Benita,"Blessed",f
Benito,"A variant of Benedicto",m
Bernardita,"Bold as a bear",f
Bernardo,"Bold as a bear",m
Bibiana,"Alive",f
Bonita,"Pretty",f
Brunilda,"Armored warrior woman",f
Camila,"Attendant for a temple",f
Camilo,"Free-born child",m
Cande,"Candle",f
Candelaria,"Light, torch",f
Candelas,"Candle, torch",f
Caridad,"Dear",f
Carlito,"Man",m
Carlos,"Man",m
Carmela,"Feminine form of Carmelo",f
Carmelita,"Garden-land",f
Carmelo,"Garden-land",m
Carmen,"Song",f
Carmencita,"Song",f
Catalina,"Pure",f
Catherina,"Pure",f
Cayo,"Lord",m
Cecilio,"Blind",m
Celestina,"Heavenly",f
Celestino,"Heavenly",m
Celino,"Heaven",m
Celio,"Belonging to heaven",m
Chiquita,"Little one",f
Chita,"Conception",f
Clarisa,"Fame",f
Claudio,"Lame",m
Clemente,"All gentleness; all mercy",m
Clímaco,"Ladder",m
Concepción,"Referring to the Immaculate Conception",f
Conchita,"Conception",f
Conrado,"Bold counsel",m
Constanza,"Steadfast, constant",f
Consuela,"Consolation",f
Corazón,"Heart",f
Cristián,"Christian",m
Cristóbal,"Bearer of Christ",m
Cruz,"Cross",m
Cruzita,"Cross",f
Curro,"French",m
Custodia,"Guardian keeper",f
Célia,"Heaven",f
César,"Severed",m
Damián,"To tame; to subdue",m
Deifilia,"Daughter of God",f
Delfina,"Woman from Delphi",f
Demetrio,"Loves the earth",m
Desi,"Longing",m
Desideria,"Longing",f
Desiderio,"Longing",m
Diego,"Supplanter; he that replaces",m
Dimas,"Sunset",m
Dionisio,"Follower of Dionysus",m
Dolores,"Mary of sorrows",f
Dominga,"Belongs to the Lord",f
Domingo,"Belongs to the Lord",m
Doncia,"Sweet",f
Dorita,"Gift",f
Dorotea,"Gift of God",f
Dulce,"Candy",f
Eberardo,"Strong as a boar",m
Edelmira,"Nobly famous",f
Edgardo,"Rich spear",m
Edmundo,"Protector of prosperity",m
Eduarda,"Guardian of prosperity",f
Eduardo,"Guardian of prosperity",m
Efraín,"Double-land; twin-land",m
Eladio,"Of Greece",m
Elena,"Torch, light",f
Elicia,"Honest, noble",f
Eliseo,"God is salvation",m
Elmira,"Noble",f
Elodia,"Foreign wealth",f
Eloisa,"Hale, healthy",f
Eloy,"To choose",m
Elvira,"Truth; white, or beautiful",f
Emelina,"Rival",f
Emerico,"Hard-working, industrious",m
Emidio,"Weary, tired",m
Emigdia,"Half-god, demi-god",f
Emigdio,"Demi-god",m
Emiliana,"Rival",f
Emiliano,"Rival",m
Emilio,"Rival",m
Emperatriz,"Empress",f
Emygdia,"Half-god, demi-god",f
Enrique,"Ruler, power",m
Enriqueta,"Home-ruler",f
Epifanio,"Epiphany",m
Ercilia,"Delicate, tender",f
Ermenegildo,"All-giving",m
Ernesto,"Serious, determined",m
Esmeralda,"Emerald",f
Esmerelda,"A variant of Esmeralda",f
Esperanza,"Hope",f
Espiridión,"Little spirit",m
Essua,"God is salvation",m
Estefanía,"Crown",f
Estela,"Star",f
Estrella,"Star",f
Estéban,"Crown",m
Eufémia,"Well I speak",f
Eugènia,"Well born",f
Eugènio,"Well born",m
Eulália,"Well-spoken",f
Eulálio,"Well-spoken",m
Eurico,"Ever-ruler",m
Eusbio,"Pious",m
Eustaquio,"Fruitful",m
Eutimio,"Good-spirited",m
Eutropio,"Versatile",m
Evita,"Life",f
Ezequiel,"God will strengthen",m
Fabián,"Like Fabius",m
Fabricio,"Craftsman",m
Faustino,"Lucky",m
Federico,"Peaceful ruler",m
Feliciana,"Happy",f
Feliciano,"Happy",m
Felipa,"Lover of horses",f
Felipe,"One who loves horses",m
Felipina,"Lover of horses",f
Fermín,"Firm, steadfast",m
Fernán,"Courageous conqueror",m
Fernánda,"Ardent for peace",f
Fernándo,"Adventurous, bold journey",m
Fidel,"Faithful",m
Fidelia,"Faithful",f
Flavio,"Yellow or golden hair",m
Florencio,"Blossoming, flowering",m
Fonsie,"Diminutive of Alfonso",m
Francisca,"French",f
Francisco,"French",m
Frascuelo,"French",m
Frasquito,"French",m
Fulgencio,"Shining",m
Gabriela,"Man of god",f
Gaspar,"Bearer of treasure",m
Genoveva,"Race of women",f
Geraldo,"Spear ruler",m
Gerardo,"Spear strong",m
Gertrudis,"Spear strength",f
Gervasio,"Spear servant",m
Gil,"Shield of goatskin",m
Gilberta,"Pledge-bright",f
Gilberto,"Pledge-bright",m
Godofredo,"God's peace",m
Goito,"Watchful, vigilant",m
Gonzalo,"Battle genius; war elf",m
Gracia,"Pleasing, or agreeable",f
Gregorio,"Watchful, vigilant",m
Gualtiero,"Ruler of the army",m
Guilermo,"Will-helmet",m
Guillermo,"Will-helmet",m
Guiomar,"Famous in battle",m
Gustavo,"Meditation staff",m
Herminia,"Army man",f
Herminio,"Army man",m
Hernando,"Adventurous",m
Hernán,"Gentle traveler",m
Hieronimo,"Holy name",m
Hilario,"Joyful happy",m
Hipolito,"Freer of horses",m
Horacio,"Has good eyesight",m
Humberto,"Bright support",m
Iago,"Supplanter",m
Ibbie,"God is my oath",f
Idoya,"Pond",f
Ignacio,"Unknowing",m
Ildefonso,"Ready for battle",m
Imelda,"All warrior",f
Inmaculada,"Immaculate",f
Inocencio,"Harmless, innocent",m
Isabel,"God is my oath",f
Isandro,"Freer, liberator",m
Ismael,"God will hear",m
Ivette,"Yew tree",f
Iñes,"Chaste, holy",f
Iñigo,"My little one",m
Jacinta,"Hyacinth flower",f
Jacinto,"Hyacinth flower",m
Jacobo,"Supplanter",m
Jaime,"Supplanter",m
Javier,"New house",m
Jenaro,"January",m
Jerónimo,"Holy name",m
Jessenia,"A kind of palm tree",f
Jesús,"God is salvation",m
Jimena,"Hearkening",f
Joaquin,"God establishes",m
Jorge,"Farmer",m
Josefina,"God shall add another son",f
José,"May God add",m
Jovita,"God",f
Juan,"God is gracious",m
Juanito,"A variant of Juan",m
Julio,"A variant of Julius",m
Julián,"Descended from Jupiter",m
Junípero,"Juniper tree",m
Ladislao,"Rules with glory",m
Lalo,"A variant of Eduardo",m
Leandro,"Lion-man",m
Leocadia,"Bright, clear",f
Leocadio,"Clear, light",m
Leonardo,"Lion-strong",m
Leoncio,"Lion-like",m
Leonor,"Foreign, the other",f
Leopoldo,"People-bold",m
Leta,"Winged",f
Leticia,"Happiness",f
León,"Lion",m
Lino,"A cry of grief",m
Lita,"Sorrows",f
Lola,"Sorrow",f
Lolita,"Sorrow",f
Lope,"Wolf",m
Lorita,"Sorrowful",f
Loída,"Agreeable",f
Lucinda,"Light",f
Lucio,"Light",m
Lucía,"Light",f
Luis,"Famous warrior",m
Luisa,"Famous warrior",f
Luisina,"Famous warrior",f
Lupe,"River of the wolf",f
Lupita,"Little wolf",f
Macarena,"Blessed",f
Macario,"Blessed",m
Magdalena,"Of Magdala",f
Manolo,"God is with us",m
Manuel,"God is with us",m
Manuela,"God is with us",f
Marcela,"Young warrior",f
Marcelina,"Young warrior",f
Marcelo,"Hammer",m
Marcial,"Of Mars",m
Marcio,"Hammer",m
Margaretta,"Pearl",f
Marguerita,"Pearl",f
Marianela,"Sea of sorrow",f
Mariangela,"Rebel-angel",f
Maribel,"Bitter, sour",f
Mario,"Male, virile",m
Marisol,"Loneliness",f
Marita,"Diminutive of María",f
Maritza,"Diminutive of María",f
Marta,"Lady, mistress",f
Martirio,"Martyrdom",f
Martita,"Lady, mistress",f
Martín,"Of Mars",m
María,"Mistress of the sea",f
Mateo,"Gift of God",m
Mauricio,"Dark-skinned; Moorish",m
Maximiano,"The greatest",m
Maximiliano,"The greatest rival",m
Melania,"Black, dark",f
Melchor,"King of light",m
Mercedes,"Mary of mercies",f
Merlín,"Sea fort",m
Miguel,"Who is like God",m
Miguela,"Who is like God",f
Mireia,"To admire",f
Modesto,"Modest, moderate",m
Máximo,"A variant of Maximus",m
Mónica,"Advisor; of counsel",f
Nacho,"Unknowing",m
Natalia,"Birthday",f
Nazario,"Of Nazareth",m
Neva,"Snow",f
Nicolás,"Victor of the people",m
Nieve,"Snows",f
Nieves,"Our lady of the snows",f
Nilda,"Armored warrior woman",f
Nina,"Little girl",f
Nita,"God is gracious",f
Noelia,"Day of birth",f
Nohemi,"My delight; my pleasantness",f
Novia,"Girlfriend",f
Novio,"Boyfriend",m
Núria,"Our lady of Núria",f
Octavio,"Eighth",m
Odalis,"Wealthy",u
Odalys,"Wealthy, rich",f
Olalla,"Well-spoken",f
Osvaldo,"Divine power; divine ruler",m
Ovidio,"Sheep herder",m
Pablo,"Little",m
Paca,"French",f
Paco,"French",m
Paloma,"Dove",f
Paquita,"French",f
Pascual,"Related to Easter",m
Pastor,"Shepherd",m
Pastora,"Shepherd",f
Patricio,"Patrician; of noble birth",m
Paulino,"Small",m
Pedro,"Stone, rock",m
Pepe,"May God add another",m
Pepita,"God shall add another son",f
Pepito,"A variant of José",m
Peppi,"Everlasting",f
Perlita,"Pearl",f
Perpetua,"Everlasting",f
Petrona,"Rock, stone",f
Piedad,"Mercy",f
Pilar,"Mary of the pillar",f
Pili,"Pillar",f
Pino,"Pine tree",m
Priscila,"Ancient",f
Prudencia,"Cautious",f
Pía,"Pious, pure of heart",f
Pío,"Pious",m
Rafael,"Healed of god",m
Rafaela,"Healed of god",f
Raimunda,"Wise protector",f
Rainerio,"Wise warrior",m
Ramira,"Wise and famous",f
Ramón,"Wise protector",m
Raquel,"Ewe",f
Raúl,"Wise wolf",m
Rebeca,"Ensnarer",f
Reina,"Queen",f
Reinaldo,"Wise ruler",m
Remigio,"Oarsman",m
Renata,"Reborn",f
Renato,"Reborn",m
Reyes,"Kings",m
Reyna,"Queen",f
Reynaldo,"Wise ruler",m
Ria,"Small river",f
Ricarda,"Powerful ruler",f
Ricardo,"Powerful ruler",m
Rico,"A variant of Ricardo",m
Rita,"Pearl",f
Roberta,"Bright fame",f
Robertina,"Bright fame",f
Roberto,"Bright fame",m
Rocío,"Mary of the dew",f
Rodolfo,"Famous wolf",m
Rodrigo,"Famous power",m
Rogelio,"Prayed for, wished for",m
Rogerio,"Famous spear",m
Roldán,"Famous land",m
Román,"Roman",m
Roque,"Rock",m
Rosario,"Our lady of the rosary",u
Rosita,"Rose",f
Rufino,"Red-haired",m
Ruy,"A variant of Rodrigo",m
Régulo,"Ruler",m
Sal,"Savior",m
Salomón,"Peaceable",m
Salud,"Health",f
Sancha,"Holy",f
Sanchia,"Holy",f
Sans,"Holy",m
Santiago,"Saint",m
Sarita,"Spanish princess",f
Saulo,"Asked for, desired",m
Sebastián,"Venerable, revered",m
Sence,"Holy",f
Sergio,"Sergeant",m
Seve,"Stern",m
Severino,"A variant of Severinus",m
Silvestre,"From the forest",m
Silvio,"A variant of Silvius",m
Simón,"Listener",m
Sofía,"Wisdom",f
Sosimo,"Likely to survive; survivor",m
Susana,"Lily",f
Susanita,"Lily",f
Tacito,"Silent, mute",m
Tadeo,"Courageous, large-hearted",m
Tecla,"Glory of god",f
Tercero,"Third",m
Tere,"Harvester",f
Teresa,"Harvester",f
Teófila,"God's friend",f
Thera,"Harvester",f
Therasia,"Harvester",f
Theresa,"Harvester",f
Tiburcio,"Of the river",m
Timoteo,"To honor God",m
Tito,"Fire; to burn",m
Tomás,"Twin",m
Tonia,"Invaluable",f
Tonio,"Invaluable, priceless",m
Toño,"A variant of Antonio",m
Trini,"Trinity",f
Trinidad,"Trinity",u
Tristán,"Riot, tumult",m
Urbano,"Of the city",m
Valencia,"Power",f
Valentia,"Power",f
Valentín,"Healthy, hale",m
Valerio,"To be strong",m
Vasco,"Crow",m
Verónica,"Bringer of victory",f
Vicente,"Conquering",m
Vidal,"Of life; vital",m
Vinicio,"Vine",m
Violeta,"Violet, the color",f
Virgilio,"Flourishing",m
Visitación,"Visitation",f
Vito,"Life",m
Víctor,"Conqueror",m
Wilfredo,"Desiring of peace",m
Ximen,"Hearkening",m
Ximena,"Hearkening",f
Xiomara,"Famous warrior",f
Yazmin,"Jasmine flower",f
Yessenia,"A type of palm tree",f
Ysabel,"God is my oath",f
Zacarías,"Whom Jehovah remembered",m
Zarita,"Noble, lady princess",f
Zenaida,"Of Zeus",f
Álvaro,"Guard of all",m
Ángela,"Angel, messenger",f
Ángelita,"Little angel",f
Óscar,"God-spear",m